Compound,DateHapp,Negative,Neutral,Positive,Tweets Ago,source
0.0,2017-12-01 13:31:02+00:00,1.0,0.0,0.0,37,BBC
0.0,2017-11-29 06:35:26+00:00,1.0,0.0,0.0,37,fox
-0.5574,2017-12-02 20:59:06+00:00,0.783,0.217,0.0,37,nytimes
0.5423,2017-12-01 13:00:08+00:00,0.8,0.0,0.2,36,BBC
0.0,2017-11-29 23:13:40+00:00,1.0,0.0,0.0,36,CBS
0.6478,2017-11-29 04:20:36+00:00,0.791,0.0,0.209,36,fox
-0.2263,2017-12-02 19:15:10+00:00,0.872,0.128,0.0,36,CNN
0.6072,2017-12-02 20:41:04+00:00,0.82,0.0,0.18,36,nytimes
0.4019,2017-11-29 01:26:16+00:00,0.876,0.0,0.124,35,fox
-0.6808,2017-12-02 20:26:05+00:00,0.752,0.248,0.0,35,nytimes
0.128,2017-12-02 19:00:13+00:00,0.592,0.189,0.219,35,CNN
-0.3818,2017-12-01 12:30:03+00:00,0.625,0.233,0.142,35,BBC
0.0,2017-11-29 22:34:56+00:00,1.0,0.0,0.0,35,CBS
0.4215,2017-12-02 20:11:04+00:00,0.865,0.0,0.135,34,nytimes
0.8151,2017-12-01 12:18:09+00:00,0.718,0.0,0.282,34,BBC
-0.4215,2017-12-02 18:45:09+00:00,0.763,0.237,0.0,34,CNN
0.5255,2017-11-29 01:24:53+00:00,0.841,0.0,0.159,34,fox
0.0,2017-11-29 21:07:33+00:00,1.0,0.0,0.0,34,CBS
0.0,2017-11-29 01:17:57+00:00,1.0,0.0,0.0,33,fox
0.4019,2017-12-02 18:30:02+00:00,0.847,0.0,0.153,33,CNN
0.4559,2017-11-29 20:41:13+00:00,0.858,0.0,0.142,33,CBS
0.5994,2017-12-01 12:03:01+00:00,0.769,0.0,0.231,33,BBC
-0.3818,2017-12-02 19:56:02+00:00,0.86,0.14,0.0,33,nytimes
0.0,2017-12-02 18:15:03+00:00,1.0,0.0,0.0,32,CNN
0.0,2017-12-01 11:34:46+00:00,1.0,0.0,0.0,32,BBC
0.8548,2017-11-29 01:15:30+00:00,0.657,0.0,0.343,32,fox
